Sr_No,Date,StartUp,Vertical,SubVertical,Location,Investors,Round,Amount
695,2017-07-12,Arcatron,Technology,Next Gen Mobility Device Manufacturer,Pune,Indian Angel Network,Seed Funding,9.443
696,2017-07-14,Qwikspec,Technology,Construction Site Operations And Analytics Platform,Bangalore,"Brigade Innovations Llp, Tv Mohas Pai, Suhail Rahman, Bobby Reddy, M George Oommen",Seed Funding,5.09922
697,2017-07-14,Chumbak,Ecommerce,Designer Consumer Products Marketplace,Bangalore,Blacksoil Capital Pvt. Ltd,Private Equity,16.0531
698,2017-07-17,Increff,Technology,Sales Solutions For Fashion Brands,Bangalore,"Sequoia Capital, Grey Orange, Rajesh Ramaiah, Anshuman Das, Rishi Das",Seed Funding,18.886
699,2017-07-17,Vayana,Technology,Enterprise Banking Solutions,Pune,"Idg Ventures India Advisors, Jungle Ventures",Private Equity,37.772
700,2017-07-18,Mobiquest,Technology,Mobile Services & Solutions,Noida,One97 Communication Ltd,Private Equity,9.443
701,2017-07-18,Ambee,Consumer Internet,Ambulance Aggregation Services,Hyderabad,"Uber Technologies Inc, Amaya Capital Llp",Seed Funding,9.443
702,2017-07-18,Ideal Insurance,Consumer Internet,Online Insurance Platform,Kolkata,Xelpmoc,Seed Funding,9.443
703,2017-07-18,Hypernova Interactive,Technology,Mobile Games Creator,Bangalore,Kae Capital,Seed Funding,9.443
704,2017-07-19,Rentomojo,Consumer Internet,Consumer Leasing Platform,Bangalore,"Ain Capital Ventures, Renaud Laplanche",Private Equity,94.43
705,2017-07-19,Aircto,Consumer Internet,Ai Powered Recruitment Platform,Bangalore,Francesco Cara,Seed Funding,9.443
706,2017-07-19,Playablo,Technology,Gamified Learning App,Bangalore,Abi-Showatech (India) Ltd,Seed Funding,5.665800000000001
707,2017-07-20,Trupay,Technology,Online Payments Platform,Gurgaon,"Kae Capital, M&S Partners,",Seed Funding,6.610100000000001
708,2017-07-21,Brick2Wall,Ecommerce,Online Marketplace For Construction Material,Gurgaon,"Subramani Somasundaram, Sundeep Sahni, Mayank Mittal & Others",Seed Funding,1.8886
709,2017-07-21,Fablestreet,Ecommerce,Women Work Wear Etailer,New Delhi,"Harmeet Bajaj, Pameela P, Fusiontech Ventures & Others",Seed Funding,9.443
710,2017-07-21,Monsoon Fintech,Technology,Machine Learning Access Platform,New Delhi,"Sunil Kalra, Aditya Singh, Rishi Srivastava, Rajan Anan",Seed Funding,9.443
711,2017-07-21,Monkeybox,Consumer Internet,Healthy Food Delivery Platform,Bangalore,"Blume Ventures, Nb Ventures, Nspira",Seed Funding,9.443
712,2017-07-25,Noticeboard,Consumer Internet,Mobile-First Enterprise Communication Platform,Bangalore,"Stellaris Venture Partners,",Private Equity,11.331600000000002
713,2017-07-25,Byju'S,Consumer Internet,Mobile Learning App,Bangalore,Tencent Holdings,Private Equity,330.50500000000005
714,2017-07-26,Creator'S Gurukul,Others,Co-Working Space Provider,New Delhi,Yuvraj Singh,Seed Funding,9.443
715,2017-07-26,Fab Hotels,Consumer Internet,Budget Hotels Brand & Aggregator Platform,New Delhi,Goldman Sachs,Private Equity,236.075
716,2017-07-26,Thinkerbell,Consumer Internet,Assisted Learning Startup,Bangalore,"Indian Angel Network, An Mahindra",Seed Funding,1.8886
717,2017-07-27,1Mg,Ecommerce,Online Pharmacy,Gurgaon,"Hbm Healthcare Investments, Maverick Capital Ventures, Sequoia India, Omidyar Network  Kae Capital",Private Equity,141.645
718,2017-07-28,Jhakaas,Consumer Internet,App-Based Aggregator Of Offline Businesses,Mumbai,Amen Dhyllon,Seed Funding,9.443
719,2017-07-28,Bigstylist,Consumer Internet,Beauty Services Marketplace,Mumbai,Info Edge (India) Ltd,Private Equity,11.80375
720,2017-07-28,Gympik.Com,Consumer Internet,Online Marketplace For Discovering Fitness Centres,Bangalore,Roundglass Partners,Seed Funding,9.443
721,2017-06-01,Tripeur,Technology,Mobile Based Travel Erp Platform,Bangalore,"Grace Grace Techno Ventures Llp, Rajul Garg & Other Undisclosed Investors",Seed Funding,9.443
722,2017-06-02,Rentongo,Ecommerce,"Online Marketplace For Renting Bikes, Electronics & Appliances",Bangalore,Tvs Motor Company,Seed Funding,2.209662
723,2017-06-05,Goomo,Consumer Internet,Online Travel & Holiday Booking Platform,Mumbai,Emerging India,Private Equity,472.15
724,2017-06-05,Maxmywealth,Consumer Internet,Online Wealth Management & Savings Platform,Mumbai,"Lockchain Ecosystem Global Advisors, Horseferry",Private Equity,9.443
725,2017-06-06,Spinny,Ecommerce,Online Used Car Marketplace,Gurgaon,"Blume Ventures, Indian Angel Network, Kunal Shah, Seep Ton",Private Equity,9.443
726,2017-06-06,Healthbuds,Consumer Internet,Healthcare Discovery & Booking Platform,Kolkata,"Arun Patodia, Bharat Kedia",Seed Funding,9.443
727,2017-06-06,Ftcash,Consumer Internet,Mobile Payments Platform,Mumbai,"500 Startups, Ivycap Ventures",Private Equity,9.443
728,2017-06-06,Bhive Workspace,Consumer Internet,Co-Working Spaces,Bangalore,Blume Ventures,Private Equity,11.331600000000002
729,2017-06-06,Wayforward,Consumer Internet,Mobile App For Mental Health,New Delhi,"Harsh Mahajan, Farhan Naqvi, Sreepathy Viswanathan",Seed Funding,9.443
730,2017-06-06,Gyandhan,Consumer Internet,Education Marketplace,New Delhi,Sundaram Finance Holdings,Private Equity,9.443
731,2017-06-06,Hungry Foal,Consumer Internet,For Profit Social Venture,Gurgaon,Sbi (St Up India Scheme),Private Equity,9.443
732,2017-06-07,Ziploan,Consumer Internet,Online Lending Platform,New Delhi,Waterbridge Ventures,Seed Funding,6.137950000000001
733,2017-06-07,Growfitter,Consumer Internet,Health And Fitness Discovery Platform,Mumbai,Sque Capital,Seed Funding,5.665800000000001
734,2017-06-08,Stratfit,Consumer Internet,Health Coaching Programs,Hyderabad,Bodhtree Consulting Limited,Seed Funding,2.190776
735,2017-06-08,Multiplier Solutions,Technology,Crm Software For Healthcare Space,Hyderabad,Norwest Venture Partners,Private Equity,14.1645
736,2017-06-08,Abi Health,Technology,Unified Digital Health Platform,Bangalore,Norwest Venture Partners,Private Equity,14.1645
737,2017-06-08,Stockal,Consumer Internet,App-Based Investment Advisory Services,Bangalore,"Mohan Alexer, R. Natarajan, Vikrant Varshney, Amit Sinha",Seed Funding,3.3050500000000005
738,2017-06-09,Guidoo,Consumer Internet,Travel & Adventure Planning Platform,Mumbai,"Pawan Borle, Nirmal Singh, Manish Prasad, Vineet Varma, Nick Haulkoury, Abhai S. Rao",Seed Funding,2.8329000000000004
739,2017-06-09,Esahai.In,Consumer Internet,Ambulance Aggregator And Medical Taxi Provider,Hyderabad,"Dr Ramesh Ayyala, Satya Muthyala",Seed Funding,2.36075
740,2017-06-12,Loanmeet,Consumer Internet,Online Peer-To-Peer Lending Platform,Bangalore,"Cao Yibin, Huang Wei, Madhusudan E,",Seed Funding,9.443
741,2017-06-12,Lendingkart,Consumer Internet,Online Lending Platform,Ahmedabad,Yes Bank,Debt Funding,73.6554
742,2017-06-12,Boxx.Ai,Technology,Artificial Intelligence,Bangalore,"Unicorn India Ventures, Venky Krishnakumar, Suresh Shankar, Vivek Bhargava",Private Equity,4.7215
743,2017-06-12,Peesafe.In,Healthcare,Hygiene Care Product Manufacturer,New Delhi,"Venture Catalysts, Alfa Capital, Green Shots Capital, Real Time Ventures",Private Equity,9.443
744,2017-06-12,Vista Rooms,Consumer Internet,Online Rooms Aggregation Platform,Mumbai,"Artha India Ventures, Singularity Holdings, Rajan Anan, Girish Mathrubootham",Seed Funding,7.327768
745,2017-06-12,Coverfox,Consumer Internet,Online Insurance Brokerage Platform,Mumbai,Transamerica,Private Equity,141.645
746,2017-06-13,Hypertrack,Technology,Location Tracking Solutions,New Delhi,"Nexus Venture Partners, Founders Fund",Private Equity,9.443
747,2017-06-13,Goodera,Technology,Csr And Sustainability Management Platform,Bangalore,"Nexus Venture Partners, Omidyar Network",Private Equity,51.93650000000001
748,2017-06-13,Digit,Technology,Tech Driven Insurance Platform,Bangalore,Fairfax Holdings,Private Equity,9.443
749,2017-06-14,Ola,Consumer Internet,Cab Aggregation App,Bangalore,Tekne Capital Management Llc,Private Equity,472.15
750,2017-06-14,Vanitycask,Consumer Internet,Beauty Products Discovery Platform,Mumbai,Rb Investments,Seed Funding,9.443
751,2017-06-14,Mrneeds,Consumer Internet,Micro Food Delivery Platform,Noida,Undisclosed Investors,Seed Funding,4.7215
752,2017-06-15,Moneytap,Consumer Internet,Money Lending Platform,Bangalore,"Sequoia India, Nea, Prime Venture Partners",Private Equity,116.1489
753,2017-06-16,Goodbox,Ecommerce,Mobile Saas  Ecommerce Platform For Smes,Bangalore,"Nexus Venture Partners, Mekin Maheshwari",Private Equity,9.443
754,2017-06-16,Fincash,Consumer Internet,Personal Finance Platform,Mumbai,"Mohammed Khan, Sameer Narayan & Others",Seed Funding,0.9443
755,2017-06-16,Portdesk,Technology,Maritime Solutions,Noida,Alphard Maritime Group,Seed Funding,18.886
756,2017-06-16,Edgefx,Ecommerce,Diy Project Kits Seller,Hyderabad,"Cross Border Angels & Experts, Rajasthan Angel Innovators Network, The Chennai Angels",Seed Funding,9.443
757,2017-06-16,Eazydiner,Consumer Internet,Online Restaurant Reservation Platform,Gurgaon,Youwecan Ventures,Seed Funding,9.443
758,2017-06-16,Healthintel,Healthcare,Online Pharmacy,New Delhi,Blip Initiatives,Seed Funding,9.443
759,2017-06-19,Unbxd,Technology,Cloud-Based Product Discovery Platform,Bangalore,Eight Roads Ventures,Private Equity,118.0375
760,2017-06-19,Darwinbox,Technology,Enterprise Human Resources Management Platform,Hyderabad,"Lightspeed India Partners, Endiya Partners, 3One4 Capital Advisors Llp, Startupxseed Ventures Llp",Private Equity,37.772
761,2017-06-20,Forevershop,Consumer Internet,Mobile Based Ecommerce Platform,Bangalore,91Maker.Com,Seed Funding,2.8329000000000004
762,2017-06-20,Insider.In,Consumer Internet,Events Ticketing Platform,Mumbai,Paytm,Private Equity,49.10360000000001
763,2017-06-21,Fynd,Ecommerce,Fashion Etailer,Mumbai,"Iifl Seed Ventures, Kae Capital, Fj Labs, Singularity Ventures, Growx, Tracxn Labs, Axis Capital",Private Equity,22.663200000000003
764,2017-06-21,Grow Fit,Consumer Internet,Health-Tech Platform,Bangalore,"Manipal Education  Medical Group (Memg), Sar Group, The Grover Trust",Private Equity,42.493500000000004
765,2017-06-21,Fabulyst,Technology,Artificial Intelligence Based Platform,Hyderabad,Ibhubs,Seed Funding,2.030245
766,2017-06-21,Mswipe,Technology,Point-Of-Sale Services,Mumbai,"Uc-Rnt Fund, Matrix Partners, Alcon Edge Capital, Dsg Consumer Partners",Private Equity,292.733
767,2017-06-21,Oneassist,Consumer Internet,Credit Card Fraud Protection,Mumbai,Sequoia Capital,Private Equity,9.443
768,2017-06-22,Julia Computing,Technology,Open Source Language For Data Science And Machine Learning,Bangalore,"General Catalyst, Founder Collective",Private Equity,43.4378
769,2017-06-22,Kissht,Consumer Internet,Consumer Lending Platform,Mumbai,"Endiya Partners, Ventureast",Private Equity,18.886
770,2017-06-22,Explore Life Traveling,Consumer Internet,Local Homes Booking Platform,Bangalore,"Mekin Maheshwari, Bharat Vijay, Krish Seshadri, Amar Arsikere",Seed Funding,4.7215
771,2017-06-23,Loantap,Consumer Internet,Lending Platform For Salaried Professionals,Mumbai,"Kae Capital, India Quotient, Ifmr,  Mas Financial Services Ltd",Private Equity,37.772
772,2017-06-23,Voxweb,Consumer Internet,Mobile Based Social Networking Platform,Mumbai,Undisclosed Investors,Seed Funding,9.443
773,2017-06-26,Hug Innovations,Technology,Gesture Based  Smartwatch Manufacturer,Hyderabad,"Mohit Srivastav, Kishore Ganji, Venkat Vallabhaneni, Rajeev Menon",Private Equity,47.215
774,2017-06-26,Flipkart,Ecommerce,Online Marketplace,Bangalore,Naspers,Private Equity,670.4530000000001
775,2017-06-26,V Resorts,Consumer Internet,Holiday & Vacation Resort Aggregator,Noida,"Seedfund, Rb International",Private Equity,37.772
776,2017-06-27,Stashfin,Consumer Internet,Personal Finance App,New Delhi,"Snow Leopard Ventures, Alto Partners",Private Equity,47.215
777,2017-06-27,Formcept,Consumer Internet,Unified Data Analysis Platform,Bangalore,Gujarat Venture Finance Ltd,Private Equity,9.443
778,2017-06-27,Spares Hub,Ecommerce,Automobile Parts Marketplace,Pune,"The Chennai Angels, Anthill Scale Ventures, Esvee Technologies Inc, Inc95 Consulting",Seed Funding,2.9367730000000005
779,2017-06-28,Fitraq,Consumer Internet,Fitness Centre Discovery Platform,New Delhi,"Aparup Sengupta, Devendra Reddy,",Seed Funding,9.443
780,2017-06-28,Rubique,Consumer Internet,Online Marketplace For Financial Products,Mumbai,"Kalaari Capital, Udayan Goyal",Private Equity,28.329
781,2017-06-28,Niki.Ai,Consumer Internet,Ai Based Personal Assistant,Bangalore,"Sap.Io, Unilazer Ventures",Private Equity,18.886
782,2017-06-29,Fitpass,Consumer Internet,Online Fitness Marketplace,New Delhi,"Abhinav Bindra, Gaurav Marya",Private Equity,9.443
783,2017-06-29,Zinghr,Technology,"Digital Employee Solutions,",Mumbai,Zeta,Private Equity,9.443
784,2017-06-30,Tagos Design,Technology,In-Video Discovery Platform,Bangalore,Undisclosed Investors,Private Equity,47.215
785,2017-06-30,Urbanclap,Consumer Internet,Mobile Services Marketplace,Gurgaon,"Vy Capital, Saif Partners, Accel Partner, Bessemer Venture Partners",Private Equity,198.30300000000003
786,2017-05-01,Ace2Three,Consumer Internet,Online Rummy Playing Website,Hyderabad,Clairvest Group,Private Equity,695.9491
787,2017-05-01,Power2Sme,Ecommerce,Buying Portal For Smes,Gurgaon,International Finance Corporation,Private Equity,94.43
788,2017-05-02,Innovapptive,Technology,Enterprise Mobility Solutions,Hyderabad,Hyderabad Angels,Seed Funding,14.1645
789,2017-05-02,4Tigo,Logistics,Truck Network Company,Bangalore,"Accel Partners, Nan Nilekani,",Private Equity,94.43
790,2017-05-02,Smecorner,Consumer Internet,Online Platform For Small Business Loans,Mumbai,Dutch Government Fund,Private Equity,9.443
791,2017-05-02,Zippserve,Consumer Internet,Real Estate Risk Assessment Platform,Bangalore,Undisclosed Investors,Seed Funding,3.68277
792,2017-05-03,Ola,Consumer Internet,Cab Aggregation App,Bangalore,"Falcon Edge Capital, Capital Advisers",Private Equity,986.7935
793,2017-05-03,Sumeru,Technology,Software & Mobile Development Services,Bangalore,Undisclosed Investors,Seed Funding,9.443
794,2017-05-04,Healthians,Consumer Internet,Online Diagnostics And Wellness Platform,New Delhi,"Asuka Holdings, Youwecan Ventures, Beenext, Beenos, M&S Partners",Private Equity,9.443
795,2017-05-05,Healthmir,Consumer Internet,Ai-Based Health Content Platform,New Delhi,Nimit Panigrahi,Seed Funding,9.443
796,2017-05-05,Uactive,Consumer Internet,Health-Based Social Networking & Discovery App,Mumbai,Hinduja Family,Seed Funding,9.443
797,2017-05-05,I-Lend,Consumer Internet,Peer-To-Peer Lending Platform,Hyderabad,50K Ventures,Seed Funding,9.443
798,2017-05-05,Good Methods Global,Technology,Cloud Based Practice Management Software,Triv/rum,Accel Partners,Private Equity,9.443
799,2017-05-05,Balance App,Consumer Internet,Money Savings & Management App,Bangalore,Rainmatter,Seed Funding,2.200219
800,2017-05-08,Yepme,Ecommerce,Private Label Fashion Etailer,Gurgaon,"Rainbow Digital Services Pvt. Ltd, Ilearnfinance Academy Pvt. Ltd.",Private Equity,6.610100000000001
801,2017-05-08,Nightstay,Consumer Internet,Last Minute Hotel Booking Mobile App,New Delhi,"Indian Angels Network, Letsventure",Seed Funding,9.443
802,2017-05-08,Devourin,Technology,Restaurant Automation Solution,Pune,Deepak Nathani,Seed Funding,9.443
803,2017-05-08,Mygreens,Food & Beverage,Cold-Press Juices Manufacturer,New Delhi,"Ajay Relan, Letsventure",Seed Funding,9.443
804,2017-05-08,Ace Turtle,Technology,Omni-Channel Platform,Bangalore,"Vertex Ventures, C31 Ventures",Private Equity,47.215
805,2017-05-08,Curefit,Technology,Health-Tech Platform,Bangalore,"Trifecta Capital Advisors Llp, Prathithi Investment Trust, Rnt Capital, Gokul Rajaram, Aditya Agarwal, Ruchi Sanghvi & Others",Private Equity,30.2176
806,2017-05-09,Curie Labs,Technology,Energy Analytics Startup,New Delhi,Satoshi Studios,Seed Funding,0.47215
807,2017-05-09,Uncanny Vision,Technology,Computer Vision On Embedded Systems,Bangalore,An Chrasekaran,Seed Funding,9.443
808,2017-05-09,Anchanto,Technology,Ecommerce Fulfilment And Technology Platform,Pune,Luxasia Group,Private Equity,9.443
809,2017-05-09,Sequretek,Technology,It Security & Data Management Services,Mumbai,"Gvfl, Unicorn India Ventures",Private Equity,9.443
810,2017-05-10,Lucideus,Technology,Cyber Security Startup,New Delhi,"Vellayan Subbiah, Jonathan Boutelle, Rajan Anan, Rahul Chawla, Salil Donde, Amit Ranjan, Govind Rajan & Others",Seed Funding,9.443
811,2017-05-10,Vidooly,Consumer Internet,Video Intelligence Platform,Noida,"Times Internet, Gvfl",Private Equity,13.220200000000002
812,2017-05-10,Shopclues,Ecommerce,Online Marketplace,Gurgaon,Innoven Capital,Private Equity,72.7111
813,2017-05-10,Fourth Ambit,Consumer Internet,Community Building Platform,Bangalore,1Crowd,Seed Funding,5.665800000000001
814,2017-05-10,Chymera Vr,Technology,Advertising Platform For Virtual Reality,Bangalore,"Varsha Rao, Surojit Chatterjee, Nirav Choksi & Others",Seed Funding,9.443
815,2017-05-11,Early Salary,Consumer Internet,Online Lending Platform,Pune,"Dg Ventures India, Dewan Housing Finance Corp",Private Equity,37.772
816,2017-05-11,Book My Diamond,Ecommerce,Diamond B2B Etailer,Mumbai,Chirag Nikunj Sheth & Others,Seed Funding,9.443
817,2017-05-11,Ion Energy,Technology,Clean Tech Startup,Mumbai,"Aakrit Vaish, Swapan Rajdev, Sushill Jiwarajka",Seed Funding,9.443
818,2017-05-12,Legal Raasta,Consumer Internet,Legal Services To Smes & Individuals,New Delhi,Impanix Capital,Private Equity,47.215
819,2017-05-12,Log 9 Materials,Technology,Nanotech Product Developer,Bangalore,Gems,Seed Funding,9.443
820,2017-05-12,Remit Guru,Consumer Internet,Digital Money Transfer Platform,Mumbai,"Infibeam, Ccavenue",Private Equity,4.400438
821,2017-05-12,Aequm,Ecommerce,Cloud Ecommerce Platform,Bangalore,Undisclosed Investors,Seed Funding,9.443
822,2017-05-15,Zapty,Technology,Project Management Tool,Bangalore,Ideaspring Capital,Seed Funding,4.7215
823,2017-05-15,Vernacular.Ai,Technology,Multi-Lingual Ai Platform For Businesses,Bangalore,Kstart Capital,Seed Funding,9.443
824,2017-05-16,Niki.Ai,Technology,Ai-Based Chatbot,Bangalore,Sap,Private Equity,9.443
825,2017-05-16,Telr,Technology,Online Payment Gateway,Mumbai,Innovations East,Private Equity,28.329
826,2017-05-16,Fynd,Ecommerce,Fashion Ecommerce Portal,Mumbai,Rocketship,Private Equity,4.7215
827,2017-05-17,Genie,Consumer Internet,Hyperlocal Delivery And Logistics Mobile App,Chennai,Undisclosed Investors,Seed Funding,2.36075
828,2017-05-17,Paysense,Consumer Internet,Online Lending Platform,Mumbai,Jungle Ventures,Private Equity,50.047900000000006
829,2017-05-18,The Good Life,Ecommerce,Online Luxury Tea Etailer,Mumbai,"Ayesha Takia Azmi, Abu Farhan Azmi",Seed Funding,9.443
830,2017-05-18,Pumpkart,Ecommerce,Online Water Pumps Etailer,Ch/igarh,Dr. Ritesh Malik,Seed Funding,9.443
831,2017-05-18,Paytm,Ecommerce,Mobile Wallet & Ecommerce Platform,Bangalore,Softbank Group,Private Equity,13220.2
832,2017-05-19,Ezcred,Consumer Internet,Consumer Lending Platform,Bangalore,"Dheeraj Pey, Rajesh Yohannan, Akash Garg",Seed Funding,9.443
833,2017-05-19,Healthsutra,Food & Beverage,Health Food Maker,Hyderabad,"Ankur Capital, Hyderabad Angels",Seed Funding,9.443
834,2017-05-20,Yepme,Ecommerce,Private Fashion Brand Etailer,New Delhi,Gokaldas Exports Ltd,Private Equity,9.443
835,2017-05-22,Delhivery,Logistics,Ecommerce Logistics Provider,New Delhi,Fosun International,Private Equity,283.29
836,2017-05-22,Zipgrid,Consumer Internet,"Cashless, Paperless Solutions For Housing Societies",Mumbai,"Jll, 1Crowd",Seed Funding,4.7215
837,2017-05-23,Travelspice,Ecommerce,Travel Ecommerce Portal,Hyderabad,Eagle10 Ventures,Seed Funding,9.443
838,2017-05-23,Magicpin,Consumer Internet,Hyperlocal Discovery Platform,Gurgaon,"Lightspeed Venture Partners, Vy Capital,",Private Equity,62.3238
839,2017-05-23,The Print,Consumer Internet,News Portal,New Delhi,"Ratan Tata, Nan Nilekani, Uday Kotak, Vijay Shekhar Sharma, Kiran Mazumdar-Shaw, Rajiv C Mody",Seed Funding,9.443
840,2017-05-23,Box8,Consumer Internet,Food Delivery Platform,Mumbai,Trifecta Capital,Private Equity,9.443
841,2017-05-24,Gennext Students,Consumer Internet,Online Tutoring Services,Mumbai,Undisclosed Investors,Seed Funding,5.476940000000001
